id,model,focus,coverage
119,BERT,0.6681292733990812,-0.5492791600853512
119,PG,0.32069350304432537,-0.5788104027779243
123,BERT,-0.7068519110560384,-0.6044138698365306
123,PG,-0.6211267257487054,-0.4323587926612663
240,BERT,-0.3121027814232526,-0.43779958697041627
240,PG,-0.8701298676871408,-1.0575540931743153
313,BERT,-0.2199361161447176,0.05978315827185579
313,PG,-0.9315942304502332,-0.8022145024031674
452,BERT,-0.8701298676871408,-0.6946273709672374
452,PG,-0.2702220105452377,-0.7893686604878251
459,BERT,-0.570988158012181,-0.570988158012181
459,PG,-0.17891727835982954,-0.4707110225391318
513,BERT,0.4641480033638354,-0.32185537268758113
513,PG,0.2451410126561039,0.29054946436664164
706,BERT,2.475765981253773,2.943849154894889
706,PG,-0.06440487337366638,-0.13024911915105994
874,BERT,1.6569662369379623,3.2516635589665697
874,PG,-0.3537210311539078,-0.0873615867383604
1159,BERT,-0.6211267257487054,-0.4863771158383163
1159,PG,0.4175362971406249,1.4967475792592422
1167,BERT,-0.6211267257487054,0.327656381425088
1167,PG,1.4404156712672265,1.4760194052824689
1179,BERT,-0.2565630707259014,-0.2565630707259014
1179,PG,0.05325683807607207,0.4678815177869779
1253,BERT,-0.4439803972041096,0.17141377084892814
1253,PG,-0.6097469058428479,0.07483509450213015
1263,BERT,-0.2310330685460772,0.4682411524058363
1263,PG,0.06927821085358253,0.6508651729493894
1394,BERT,0.4162848337686922,0.09395630089387808
1394,PG,1.0567417177544554,0.9711498959013509
1402,BERT,0.365384705239468,-0.3368427972249699
1402,PG,-0.6220691190969337,-0.4457695702611649
1404,BERT,-0.3871467429782576,0.13925019293003565
1404,PG,0.5514648464481295,0.06427496241275113
1617,BERT,0.7005959587004229,1.0824686549910787
1617,PG,-0.7755822872965913,0.2397991006196235
1661,BERT,-0.6211267257487054,-0.922913683080256
1661,PG,-0.4043344096587072,-0.8701298676871408
1960,BERT,0.21644298533469086,0.16227004961143607
1960,PG,0.9245943751069308,-0.1843541909789437
2093,BERT,-0.3563535278097989,0.6838962465436408
2093,PG,-0.6453251516565454,-0.3563535278097989
2139,BERT,2.368249548357245,1.3413215082028105
2139,PG,-0.7463258318759319,-0.7692048302611489
2211,BERT,0.19283650785178275,-1.0348994405913563
2211,PG,-0.7906976473117989,-0.1799639951699217
2215,BERT,-0.36029292248339706,-0.9516281588722982
2215,PG,-0.5542753021000061,-0.8278304218096285
2366,BERT,0.2890733548306492,0.1760687463892244
2366,PG,1.4119812062787869,1.3875215329514383
2677,BERT,0.3087890740161801,-0.35503046403507826
2677,PG,-0.3778690199249352,1.1450252239987349
2766,BERT,1.6001885276023484,1.1319747223262218
2766,PG,0.0939686005646922,-0.4372853107147821
2935,BERT,-0.9538507682618288,-0.8797094409721221
2935,PG,-0.5298517465680873,-1.147434008889852
3033,BERT,0.3562507204709245,0.5761630600859525
3033,PG,0.4165174795570719,0.180168387228752
3193,BERT,-0.5671268821271409,-0.19867101180087046
3193,PG,-0.8701298676871408,-0.2159077424887612
3290,BERT,1.832434910203997,1.2150539330827517
3290,PG,1.7594485250801617,1.0128173815009258
3316,BERT,0.6139230757744043,0.6600326060933283
3316,PG,0.7503406207808331,-0.3936865832654293
3436,BERT,1.8835882841906517,0.6474547241611619
3436,PG,-0.5350174973498943,-0.20509720562225425
3496,BERT,1.0871300178089338,0.9867993406947484
3496,PG,-0.6211267257487054,-0.6529573671236345
3651,BERT,3.2574737856686444,1.212924190505492
3651,PG,0.01395408528364254,-0.8060147932124736
3770,BERT,-0.2707256499686809,-0.9458376530348236
3770,PG,-0.5009611127890476,0.4692306099086492
3795,BERT,1.3875215329514383,1.8852811697764225
3795,PG,2.004526977244913,3.7948754672310887
3874,BERT,-0.5350174973498943,-0.4546104097908728
3874,PG,-0.5533188305852477,-0.28630882968449994
4105,BERT,-0.6211267257487054,-0.6211267257487054
4105,PG,-0.22113847971251432,-0.5602431426865003
4203,BERT,-0.8701298676871408,-0.5887269402857457
4203,PG,-0.4924681470858879,-0.013856679744676009
4213,BERT,-0.4354162329928705,0.8928290626879235
4213,PG,-0.5041367343634815,-0.11409992272672928
4530,BERT,0.5980346372194071,0.8130528618832643
4530,PG,-1.0004643705443153,-0.8701298676871408
4544,BERT,0.5954346257927993,0.8946113371616766
4544,PG,-0.14976704614410888,-0.18476285762195865
4550,BERT,-0.5208495902756564,-0.5041367343634815
4550,PG,-0.1569536133001169,-0.7379505060940915
4584,BERT,0.3400414032457502,0.5411983018346854
4584,PG,-0.5877010139243558,-0.6071436593396043
4776,BERT,1.2180508255158562,1.5128214714590775
4776,PG,-0.8701298676871408,-0.058092267473126465
4802,BERT,-0.08453275129170823,0.05325683807607207
4802,PG,1.0289799514363605,0.11221096726471637
5590,BERT,1.9202245519718368,1.5899119302850278
5590,PG,-0.9317222111725636,-0.4733241102441766
5616,BERT,-0.34309527365048603,0.1376676246333368
5616,PG,-1.1833859751760667,-0.6211267257487054
5791,BERT,-0.6211267257487054,-1.1654099920329597
5791,PG,-0.8701298676871408,-1.1654099920329597
5804,BERT,0.451930956978929,-0.15623172683244255
5804,PG,0.6129635853651533,0.4894096978250684
5880,BERT,-1.0463777972737034,-0.942586674209768
5880,PG,-1.0463777972737034,-0.5769594797052671
5915,BERT,1.6381545330501428,1.1704820190639922
5915,PG,0.06692709229059828,1.7746725887040615
6306,BERT,-0.3701286717196206,-0.5877010139243558
6306,PG,0.34320718061154204,-0.5041367343634815
6318,BERT,0.9390132786395546,1.0468691774981989
6318,PG,0.22779741986663996,0.5011175390896879
6319,BERT,-0.3518920399177389,-0.7308802555684082
6319,PG,-1.0463777972737034,-1.0463777972737034
6343,BERT,-0.8840982692903511,-0.4445741116961303
6343,PG,0.3514618994886301,0.9826016756563334
6384,BERT,-0.4780300359273502,1.3575722914486634
6384,PG,0.2601964177181019,0.2439768466414903
6517,BERT,1.3711877221358382,0.6678519098187189
6517,PG,-0.6153393252707211,-0.3485203354343787
6618,BERT,0.6026802446936479,0.6017254881136377
6618,PG,-0.3164929835781379,-0.6649167693059227
6701,BERT,-0.942586674209768,-0.942586674209768
6701,PG,-0.4526407124540736,0.07290821447228682
6739,BERT,-0.6211267257487054,-0.6211267257487054
6739,PG,-0.8701298676871408,-0.6211267257487054
6779,BERT,-1.2103499498907275,-0.9069195507923884
6779,PG,-0.3042019398895298,-0.11892648755446375
6863,BERT,-0.05672703398224401,0.07290821447228682
6863,PG,1.099373405354412,1.2435326132853002
6884,BERT,-0.570988158012181,0.13459534705828213
6884,PG,0.5823487558144561,1.5003143932294136
7131,BERT,0.3695788955449158,0.818953982799477
7131,PG,-0.6211267257487054,-0.8188695006971917
7266,BERT,-0.8701298676871408,-0.6211267257487054
7266,PG,-0.1941650979942713,0.005113245753934681
7349,BERT,0.32156953022076856,0.4566231370170724
7349,PG,0.7275294792276167,0.7339107137770379
7422,BERT,-0.16142545907540992,1.3875215329514383
7422,PG,0.4961360604638747,1.2237599927525389
7519,BERT,-0.6211267257487054,-0.9723861000842554
7519,PG,-0.9366975133308714,-0.8701298676871408
7561,BERT,-0.8308271148947114,-0.6472251622183082
7561,PG,0.7521949419246998,-0.4506107959839372
7688,BERT,0.8041197553121558,1.0143211758505346
7688,PG,-0.6211267257487054,-0.5095819610231844
8162,BERT,-0.5542753021000061,-0.6501446496126836
8162,PG,0.678807207104259,0.11996068742566518
8315,BERT,0.16787705696323588,1.3875215329514383
8315,PG,-0.35159333989719393,-0.21691474885823006
8426,BERT,-0.4280878912017492,-0.4538871176987855
8426,PG,-0.942586674209768,-0.5924092807616295
8717,BERT,0.3817632599176532,0.34034654333137543
8717,PG,0.01395408528364254,-0.5877010139243558
8840,BERT,0.8861203517151145,-0.19428666875574727
8840,PG,-0.6900512701435643,-1.2463019161769424
8861,BERT,-0.35832322514659803,-0.4369287307314571
8861,PG,0.5187072820210231,0.14267497845297542
9297,BERT,-0.897159160403192,-1.0665420847458689
9297,PG,-0.5671127217940409,0.3567934728571869
9310,BERT,0.7467749382157801,1.5901748111607459
9310,PG,-0.9889860138619682,-1.2822538824631573
9430,BERT,-0.6844722375632765,0.26330171963259025
9430,PG,-0.8577352586988741,0.10153789259761774
9508,BERT,-1.2822538824631573,-0.2424302610778847
9508,PG,0.19283650785178275,0.4354770698677956
9582,BERT,-0.021686269813412432,0.1140830827620789
9582,PG,-0.08104898083782049,-0.07627374912608369
9636,BERT,-0.5987218866621694,0.02138118297320546
9636,PG,0.13717773781201206,-0.01381833067827195
9704,BERT,0.04933768760084112,1.1450252239987349
9704,PG,-0.6211267257487054,-0.6211267257487054
