id,model,score
9850,PG,-0.7462650079080141
1348,BERT,-1.17708035942435
12419,BERT,-0.9003220423051007
11333,PG,-1.5985327587649945
3144,BERT,0.3474495021882285
3672,PG,1.248115563254558
6576,PG,0.7047528829652706
5730,BERT,-1.6290817589679005
9836,PG,1.3438271885187738
9058,BERT,-0.02476867919537198
3427,PG,-0.4694310827550591
6169,PG,1.0851587281350576
2267,BERT,0.6173906033790387
12310,PG,-0.17562444194060034
337,PG,-0.27070001958896667
1337,PG,0.8675373032088703
5014,PG,-0.24710199066368058
1897,PG,0.8217229074868208
7249,PG,1.1420655575569911
3269,BERT,-0.9264256021670659
7391,PG,-1.884760338153172
8562,BERT,-0.6623145930895885
1208,BERT,-0.7148294288224545
7796,PG,-0.3526227401253064
12619,PG,-0.733555333173837
521,BERT,0.901425549789746
1337,BERT,0.6786091177927321
12719,BERT,-0.4836898666703402
11042,BERT,0.23817328794005663
5869,BERT,-0.6002311798884022
9274,PG,-0.39530725285227386
8822,PG,1.5096591559896229
4770,BERT,-0.24389276154463424
7812,BERT,-0.7581911570491883
9058,PG,0.25698804166644557
2847,PG,-0.1231328320867487
7225,PG,0.7132534447106664
10363,BERT,-0.3072275524557026
11837,BERT,1.4624082076271616
344,PG,0.17740842172859841
7469,BERT,-0.35813416911864593
1901,BERT,1.4861848978758039
3144,PG,1.378471515436708
5749,PG,0.22624713879888256
312,PG,-0.7794844777429836
10098,BERT,0.5235691789574693
6111,PG,0.4402373510366628
12619,BERT,-0.8304152828582848
11208,BERT,-0.5996495414977697
8573,PG,-0.5578758926122885
8557,PG,-0.25885395586333754
9850,BERT,-1.3095375012627677
2659,BERT,-1.057586368376378
745,BERT,0.06592468853409511
6077,BERT,-0.23548492228232018
6111,BERT,-0.5434988291775206
4284,BERT,-0.5506801169089889
3672,BERT,1.5376784716449448
9946,PG,-1.0155460138630568
951,BERT,-1.306817090494776
654,BERT,-0.6494209620656639
10186,PG,1.513009172792211
1901,PG,1.6848197124415698
5570,PG,-1.2227363814681331
5521,PG,-0.8062510448857797
3974,BERT,0.17753689464477276
728,PG,0.7551541424810443
7812,PG,-0.3160020666973806
10632,BERT,-0.5156301008899183
11333,BERT,-1.2647767359814548
11260,PG,1.077375919143201
12419,PG,-0.43838103238986076
9781,PG,1.4182472611682562
7801,PG,0.5313451676707396
3112,BERT,-0.27370504123058703
5014,BERT,-1.0672239766554454
4036,PG,1.6839129088522398
8573,BERT,-1.1937041786377287
12503,PG,-0.5927254681567059
10909,BERT,0.9020187253866155
11312,BERT,-0.41853174894292283
6052,BERT,0.1937270630268466
1332,PG,0.1134177783533598
7260,PG,-0.20461720503450312
8822,BERT,1.505583630108586
745,PG,0.8389412831122772
6115,BERT,-0.7317567103937805
2267,PG,0.4513001248869908
6566,PG,0.43863662367456163
9267,PG,-0.5583330040404139
12092,BERT,1.6743096238132396
