id,model,score
703,BERT,-0.8006676240163584
225,PG,2.3179567207801157
179,PG,1.972237501283055
455,BERT,-0.8006676240163584
417,PG,-0.3614353505889854
714,PG,-0.6751726887513946
417,BERT,-0.8006676240163584
545,BERT,0.2769878155490087
275,BERT,1.4093429519382612
608,PG,0.41472117070956366
660,PG,0.3909261134823859
749,PG,-0.3614353505889854
253,BERT,-0.8006676240163584
624,BERT,-0.05916283790557799
643,PG,0.17915590959417083
115,PG,1.0337417666905
126,BERT,-0.8006676240163584
1,PG,0.7981765055751072
131,PG,0.1794131683449345
660,BERT,-0.3934172319236371
186,PG,-0.6124252211189128
253,PG,-0.45555655203770823
703,PG,0.3909261134823859
321,BERT,-0.8006676240163584
475,BERT,-0.8006676240163584
468,PG,0.5618840011427505
250,BERT,-0.3652296876263394
167,PG,0.21173594096158857
101,BERT,-0.8006676240163584
565,PG,2.1454144003259237
680,PG,-0.04769801242657625
551,PG,-0.06778236514763901
29,PG,0.22259261892217955
505,BERT,-0.8006676240163584
186,BERT,0.026338836301083763
589,BERT,-0.8006676240163584
555,PG,-0.2673141491402627
532,PG,1.00209255984554
167,BERT,1.6790172189762957
711,BERT,-0.1496651467007704
643,BERT,-0.18103888051701134
140,BERT,-0.26128266138437883
555,BERT,-0.8006676240163584
711,PG,0.3432532568434585
616,PG,1.0141919264422536
551,BERT,-0.7887700954027693
675,PG,2.6775433633728873
675,BERT,1.0948965847368437
480,BERT,-0.7617555247495197
187,PG,-0.19258936126874981
701,PG,-0.2438682240464933
495,PG,-0.1747805119183633
404,PG,1.9903046500812553
295,BERT,-0.7617555247495197
438,PG,-0.7617555247495197
455,PG,0.9956609545945271
719,PG,0.8619709519400477
575,BERT,0.13856064986808145
570,BERT,0.582977625398477
405,PG,-0.7617555247495197
661,PG,-0.6560642388917592
651,PG,0.24924290204069055
510,BERT,-0.7617555247495197
39,BERT,-0.5965722142188884
576,PG,2.612918666696712
128,BERT,-0.7617555247495197
507,PG,0.1450352109194075
190,PG,1.2348099348633068
616,BERT,-0.7617555247495197
457,PG,1.5560058081191073
264,BERT,-0.7617555247495197
545,PG,-0.16107901060136495
115,BERT,-0.7617555247495197
462,BERT,-0.7617555247495197
108,PG,2.8188186954543055
480,PG,-0.42667697030695967
131,BERT,2.1357422877567043
468,BERT,-0.11860664873936864
169,PG,1.6520925353364213
720,BERT,-0.2749892548181963
431,BERT,-0.7617555247495197
141,BERT,-0.7617555247495197
438,BERT,-0.6243568531344311
409,BERT,0.4644626600412352
365,BERT,1.2001660238936485
275,PG,-0.36306635127341136
459,PG,-0.42667697030695967
235,BERT,-0.7617555247495197
444,BERT,1.7012767128660091
22,PG,0.9273053582543173
510,PG,-0.461936288491635
371,PG,3.9641092570915024
639,BERT,0.7812709278166077
628,BERT,-0.5011441369946705
296,BERT,-0.697183379509848
488,PG,0.4176033277148557
137,BERT,-0.697183379509848
24,BERT,-0.4423323642401173
747,BERT,-0.697183379509848
365,PG,0.10525902724647575
663,BERT,-0.6579755310068126
661,BERT,-0.5347643432662904
228,PG,0.4326544324042207
109,BERT,-0.697183379509848
286,PG,0.35879155496030246
483,BERT,0.032430972471820384
241,PG,2.7469643802698975
339,PG,1.373597642821623
437,BERT,-0.697183379509848
548,PG,-0.20149763099048865
395,PG,-0.5222705712475552
228,BERT,-0.23511783726210855
395,BERT,0.7508700399906574
366,PG,-0.18879983652629048
450,PG,-0.5472581152850257
107,BERT,-0.697183379509848
614,PG,0.025524842684500743
680,BERT,-0.697183379509848
22,BERT,-0.38483907904146797
754,PG,1.2330616826077476
286,BERT,-0.42272843998859955
369,PG,-0.697183379509848
235,PG,-0.697183379509848
463,BERT,-0.40312451573708175
751,BERT,-0.697183379509848
671,PG,3.3066837024964904
696,PG,1.6482566047883342
339,BERT,0.4286887209591311
283,PG,-0.5011441369946705
321,PG,1.5140422001956317
431,PG,-0.4688424182789546
669,PG,0.5940386459785155
701,BERT,-0.05868251899844879
462,PG,0.14741977370140405
296,PG,-0.6972839898952351
441,BERT,-0.340666909428381
428,PG,0.9952157761974777
283,BERT,-0.6972839898952351
457,BERT,1.4448858771933732
161,BERT,-0.4218655384442649
614,BERT,0.1795679433123403
645,BERT,-0.6972839898952351
416,BERT,-0.08563377432029
217,PG,0.15692153425195102
459,BERT,2.0314222994204445
751,PG,-0.6666819397340161
109,PG,-0.37439796199815767
187,BERT,-0.5801795499842458
366,BERT,-0.6972839898952351
570,PG,1.190592416086414
56,PG,-0.27150716800511354
259,BERT,-0.6387317699397403
628,PG,-0.48572151913364586
169,BERT,-0.5996969566360774
108,BERT,0.5387387424588601
318,PG,-0.37439796199815767
634,BERT,0.341010957260879
422,BERT,-0.6972839898952351
428,BERT,0.2434239240017213
141,PG,-0.3300593879606082
720,PG,-0.3327112683275513
399,PG,2.0435774259915007
225,BERT,1.0130355465655951
586,BERT,0.2785863426963417
179,BERT,-0.6972839898952351
450,BERT,-0.6972839898952351
532,BERT,-0.6582491765915719
96,PG,-0.2293433522928928
55,BERT,-0.3606614381218271
42,PG,-0.19608942176473065
301,BERT,-0.0869406229545711
507,BERT,-0.14909896736023795
695,BERT,-0.0847658646292424
754,BERT,-0.11536791479046131
176,PG,-0.16173493417226162
140,PG,0.06776726413523752
399,BERT,0.4638962799473691
262,BERT,0.056438145957494974
498,BERT,-0.39126348828304597
475,PG,0.8776323551451976
101,PG,-0.054163814468023506
512,BERT,-0.6972839898952351
138,BERT,-0.6972839898952351
55,PG,-0.4122679311371827
309,BERT,0.17246781873843117
259,PG,0.03320876417834223
575,PG,0.8483782509933394
20,BERT,-0.49703889564196246
441,PG,1.0898321322834985
714,BERT,-0.4758461545157675
483,PG,0.4782563278284359
217,BERT,2.768643829355826
375,BERT,-0.3473237343246314
749,BERT,-0.39107519001098784
161,PG,-0.3421888819897605
176,BERT,-0.49703889564196246
696,BERT,-0.3486897077585979
639,PG,0.5926993840450335
96,BERT,-0.39107519001098784
488,BERT,0.6861319051278775
736,PG,-0.4122679311371827
39,PG,3.702266767141309
645,PG,-0.39107519001098784
20,PG,0.30376296620139326
422,PG,-0.43346067226337764
671,BERT,-0.07466214661267058
63,PG,-0.21211706864727006
416,PG,-0.4122679311371827
388,BERT,-0.49703889564196246
651,BERT,-0.4546534133895726
42,BERT,-0.49703889564196246
505,PG,-0.4546534133895726
747,PG,1.0573615250622797
444,PG,-0.43346067226337764
107,PG,-0.3698824488847929
337,BERT,0.5422636828724521
301,PG,-0.1273461041424903
512,PG,-0.0675367596648097
138,PG,0.5422636828724521
337,PG,0.5422636828724521
3,BERT,-0.49703889564196246
634,PG,-0.059870140990877264
405,BERT,-0.21506120584027924
498,PG,0.10784166778623738
241,BERT,1.6550736555379588
565,BERT,-0.43019779695563476
586,PG,-0.18938933580038272
264,PG,0.3408853712959501
24,PG,0.025177450923545102
463,PG,-0.45528613812350405
388,PG,-0.6898159107839549
506,PG,0.05954349447131461
63,BERT,-0.24592319460493803
309,PG,-0.025870227946479196
387,PG,0.6748126085317407
348,PG,1.078041808676966
126,PG,-0.41288062902114087
196,BERT,-0.7298643542012943
548,BERT,0.1983210414525827
375,PG,0.44197154054490273
404,BERT,-0.33156596535694244
371,BERT,0.08246457430136286
695,PG,0.22580569229248357
29,BERT,-0.6348466091041532
506,BERT,-0.7298643542012943
624,PG,0.4572784230896068
589,PG,-0.3776248049478646
409,PG,0.7566907324219988
719,BERT,0.8493169074303782
196,PG,0.5166871482304018
56,BERT,2.6908013448794077
128,PG,-0.5952234339560633
262,PG,-0.025870227946479196
3,PG,-0.4746528354347957
137,PG,0.5348079798962719
576,BERT,1.9836716887872494
190,BERT,0.07739724704824524
669,BERT,1.261972694311133
369,BERT,-0.5551749905387239
663,PG,-0.6348466091041532
250,PG,2.6550762689666043
348,BERT,-0.24928303319322184
295,PG,-0.7699127976186336
437,PG,1.104162861910422
495,BERT,-0.5249080057445498
1,BERT,-0.46091051001484534
387,BERT,0.27370379691721386
736,BERT,-0.6748950525214926
318,BERT,-0.14069872261538222
608,BERT,-0.7298643542012943
